2016-12-31,7.6923076923077
2016-11-30,9.090909090909099
2016-10-31,8.163265306122401
2016-09-30,13.207547169811
2016-08-31,19.148936170213002
2016-07-31,17.525773195876
2016-06-30,16.0
2016-05-31,17.34693877551
2016-04-30,8.988764044943801
2016-02-29,19.642857142857
2016-01-31,10.606060606061
2015-12-31,13.157894736842
2015-11-30,14.285714285713999
2015-10-31,17.34693877551
2015-09-30,9.302325581395301
2015-02-28,10.0946
2015-01-31,14.2857
2014-12-31,16.1094
2014-11-30,18.5083
2014-10-31,22.3757
2014-09-30,22.5434
2014-08-31,22.1264
2014-07-31,19.3353
2014-06-30,17.5719
2014-05-31,11.4983
2014-04-30,7.931
2014-03-31,6.0606
2014-02-28,9.3863
2014-01-31,12.5874
2013-12-31,15.1515
2013-11-30,14.9425
2013-10-31,17.3184
2013-09-30,16.6197
2013-08-31,16.9014
2013-07-31,15.625
2013-06-30,12.5413
2013-05-31,9.7561
2013-04-30,9.3633
2013-03-31,8.3004
2013-02-28,8.6207
2013-01-31,9.434
2012-12-31,8.6826
2012-11-30,8.4158
2012-10-31,7.6233
2012-09-30,6.9672
2012-08-31,8.5339
2012-07-31,8.7983
2012-06-30,7.4074
2012-05-31,8.2372
2012-04-30,7.1987
2012-03-31,8.2555
2012-02-29,9.8847
2012-01-31,9.1065
2011-12-31,10.8209
2011-11-30,11.21
2011-10-31,12.0229
2011-09-30,14.0281
2011-08-31,15.0862
2011-07-31,13.7472
2011-06-30,12.5
2011-05-31,13.5747
2011-04-30,18.254
2011-03-31,18.0628
2011-02-28,14.0884
2011-01-31,16.5242
2010-12-31,16.9643
2010-11-30,17.2619
2010-10-31,17.1831
2010-09-30,18.8953
2010-08-31,14.7239
2010-07-31,14.8571
2010-06-30,16.6667
2010-05-31,18.9349
2010-04-30,19.5846
2010-03-31,17.9811
2010-02-28,10.7143
